epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,164.438,0.83757,1.07218,1.12494,0.77427,0.38664,0.46714,0.35618,1.73436,2.18774,1.55314,2.82082e-05,2.82082e-05,2.82082e-05
40,168.961,0.73414,1.0193,1.14381,0.77427,0.38664,0.46714,0.35618,1.73436,2.18774,1.55314,2.84911e-05,2.84911e-05,2.84911e-05
41,173.326,0.71887,1.06583,1.02438,0.77014,0.38674,0.46807,0.33992,1.74719,2.19174,1.5548,2.87504e-05,2.87504e-05,2.87504e-05
42,177.344,0.52051,1.70815,1.04868,0.77014,0.38674,0.46807,0.33992,1.74719,2.19174,1.5548,2.89861e-05,2.89861e-05,2.89861e-05
43,181.285,1.11085,1.5809,1.38151,0.76745,0.38704,0.45678,0.33258,1.76766,2.22164,1.55866,2.91983e-05,2.91983e-05,2.91983e-05
44,185.603,0.95527,1.12839,1.31701,0.76745,0.38704,0.45678,0.33258,1.76766,2.22164,1.55866,2.93869e-05,2.93869e-05,2.93869e-05
45,189.597,0.65158,0.90758,1.02783,0.76535,0.38674,0.45667,0.33297,1.77437,2.25879,1.55931,2.9552e-05,2.9552e-05,2.9552e-05
46,193.505,0.76832,1.20523,1.19237,0.76535,0.38674,0.45667,0.33297,1.77437,2.25879,1.55931,2.96935e-05,2.96935e-05,2.96935e-05
47,197.626,0.86358,2.16849,1.29572,0.76169,0.38749,0.4583,0.3335,1.77293,2.28822,1.56095,2.98114e-05,2.98114e-05,2.98114e-05
48,201.569,0.90307,1.73541,1.25825,0.76169,0.38749,0.4583,0.3335,1.77293,2.28822,1.56095,2.99058e-05,2.99058e-05,2.99058e-05
49,205.704,0.75447,1.19851,1.25899,0.75944,0.38781,0.45363,0.32888,1.74532,2.28982,1.53648,2.99766e-05,2.99766e-05,2.99766e-05
50,209.764,0.76919,1.16039,1.25051,0.75944,0.38781,0.45363,0.32888,1.74532,2.28982,1.53648,3.00238e-05,3.00238e-05,3.00238e-05
51,213.813,0.83515,1.09926,1.17579,0.75828,0.38804,0.45363,0.32871,1.7249,2.25466,1.51339,3.00475e-05,3.00475e-05,3.00475e-05
52,217.622,0.81961,1.11844,1.16744,0.75828,0.38804,0.45363,0.32871,1.7249,2.25466,1.51339,3.00476e-05,3.00476e-05,3.00476e-05
53,221.467,0.81282,0.86642,1.25172,0.75828,0.38804,0.45363,0.32871,1.7249,2.25466,1.51339,3.00242e-05,3.00242e-05,3.00242e-05
54,225.439,0.8541,1.06553,1.30563,0.75827,0.38868,0.46012,0.32105,1.74561,2.28892,1.53105,2.99772e-05,2.99772e-05,2.99772e-05
55,229.573,0.8722,1.27901,1.14914,0.75827,0.38868,0.46012,0.32105,1.74561,2.28892,1.53105,2.99066e-05,2.99066e-05,2.99066e-05
56,233.756,1.17901,1.94079,1.57102,0.75827,0.38868,0.46012,0.32105,1.74561,2.28892,1.53105,2.98125e-05,2.98125e-05,2.98125e-05
57,237.914,0.86847,1.65426,1.27173,0.75501,0.38909,0.4266,0.32287,1.72424,2.30665,1.51689,2.96948e-05,2.96948e-05,2.96948e-05
58,242.179,0.89547,1.58237,1.32684,0.75501,0.38909,0.4266,0.32287,1.72424,2.30665,1.51689,2.95535e-05,2.95535e-05,2.95535e-05
59,246.261,0.97316,1.0496,1.29633,0.75501,0.38909,0.4266,0.32287,1.72424,2.30665,1.51689,2.93887e-05,2.93887e-05,2.93887e-05
60,250.168,1.14085,0.87054,1.66057,0.74871,0.38949,0.42699,0.31982,1.72623,2.29581,1.49754,2.92003e-05,2.92003e-05,2.92003e-05
61,253.975,0.76481,0.84669,1.1321,0.74871,0.38949,0.42699,0.31982,1.72623,2.29581,1.49754,2.89884e-05,2.89884e-05,2.89884e-05
62,257.763,0.79305,1.02005,1.08997,0.74871,0.38949,0.42699,0.31982,1.72623,2.29581,1.49754,2.87529e-05,2.87529e-05,2.87529e-05
63,261.699,0.70697,0.8754,1.11892,0.74434,0.39221,0.42772,0.29511,1.76819,2.35607,1.54048,2.84938e-05,2.84938e-05,2.84938e-05
64,265.715,0.67391,0.80261,1.09948,0.74434,0.39221,0.42772,0.29511,1.76819,2.35607,1.54048,2.82112e-05,2.82112e-05,2.82112e-05
65,270.486,0.65782,1.00089,1.24913,0.74434,0.39221,0.42772,0.29511,1.76819,2.35607,1.54048,2.7905e-05,2.7905e-05,2.7905e-05
66,274.501,0.73012,1.1804,1.10849,0.74601,0.39248,0.42711,0.29494,1.71604,2.29732,1.47138,2.75753e-05,2.75753e-05,2.75753e-05
67,278.443,0.79103,1.17991,1.11503,0.74601,0.39248,0.42711,0.29494,1.71604,2.29732,1.47138,2.7222e-05,2.7222e-05,2.7222e-05
68,282.374,1.26257,2.1695,1.60774,0.74601,0.39248,0.42711,0.29494,1.71604,2.29732,1.47138,2.68451e-05,2.68451e-05,2.68451e-05
69,286.8,0.76091,1.20814,1.18559,0.74334,0.39321,0.42843,0.29856,1.75268,2.37979,1.50302,2.64447e-05,2.64447e-05,2.64447e-05
70,290.784,0.99153,1.13836,1.43759,0.74334,0.39321,0.42843,0.29856,1.75268,2.37979,1.50302,2.60207e-05,2.60207e-05,2.60207e-05
71,294.867,1.04434,1.58459,1.40107,0.74334,0.39321,0.42843,0.29856,1.75268,2.37979,1.50302,2.55731e-05,2.55731e-05,2.55731e-05
72,299.153,0.64882,0.73092,1.10625,0.7417,0.39663,0.42798,0.29938,1.76839,2.43386,1.53071,2.5102e-05,2.5102e-05,2.5102e-05
73,303.064,0.70471,1.00548,1.0914,0.7417,0.39663,0.42798,0.29938,1.76839,2.43386,1.53071,2.46073e-05,2.46073e-05,2.46073e-05
74,306.906,0.76243,0.77942,1.20311,0.7417,0.39663,0.42798,0.29938,1.76839,2.43386,1.53071,2.40891e-05,2.40891e-05,2.40891e-05
75,311.056,0.73243,0.6537,1.13776,0.73771,0.4,0.42909,0.30071,1.75727,2.41807,1.504,2.35472e-05,2.35472e-05,2.35472e-05
76,314.93,0.69494,0.98209,1.20031,0.73771,0.4,0.42909,0.30071,1.75727,2.41807,1.504,2.29819e-05,2.29819e-05,2.29819e-05
77,318.851,0.6652,0.66759,1.09873,0.73771,0.4,0.42909,0.30071,1.75727,2.41807,1.504,2.23929e-05,2.23929e-05,2.23929e-05
78,322.844,0.85768,1.19876,1.2125,0.72628,0.4,0.42706,0.2994,1.77758,2.4481,1.53231,2.17805e-05,2.17805e-05,2.17805e-05
79,326.737,0.70824,0.97199,1.15346,0.72628,0.4,0.42706,0.2994,1.77758,2.4481,1.53231,2.11444e-05,2.11444e-05,2.11444e-05
80,330.687,0.75136,0.787,1.14635,0.72628,0.4,0.42706,0.2994,1.77758,2.4481,1.53231,2.04848e-05,2.04848e-05,2.04848e-05
